Manufacturer,Model,Stick_Pin_Diameter_mm,Stick_Pin_Diameter_inch,Stick_Width_mm,Stick_Width_inch,Link_Pin_Diameter_mm,Link_Pin_Diameter_inch,Link_Width_mm,Link_Width_inch,Pin_Centers_mm,Pin_Centers_inch,Tip_Radius_mm,Tip_Radius_inch,Data_Source,Notes
Liebherr,R934 LITRONIC,80.0,3.15,508.0,20.0,70.0,2.756,508.0,20.0,420.116,16.54,,,PDF_Page_24,
Liebherr,R944 LITRONIC,80.0,3.15,547.878,21.57,80.0,3.15,548.894,21.61,450.088,17.72,,,PDF_Page_24,
Link-Belt,75SA (Mono & Offset),50.0,1.969,189.992,7.48,50.0,1.969,191.008,7.52,299.974,11.81,,,PDF_Page_24,
Link-Belt,80SA,50.0,1.969,189.992,7.48,50.0,1.969,191.008,7.52,299.974,11.81,,,PDF_Page_24,
Link-Belt,130LX,65.0,2.559,254.0,10.0,65.0,2.559,255.016,10.04,385.064,15.16,,,PDF_Page_24,
Link-Belt,135SA,65.0,2.559,254.0,10.0,65.0,2.559,255.016,10.04,385.064,15.16,,,PDF_Page_24,
Link-Belt,160LX,80.0,3.15,299.974,11.81,80.0,3.15,300.99,11.85,434.848,17.12,,,PDF_Page_24,
Link-Belt,160X2,80.0,3.15,299.974,11.81,81.0,3.189,300.99,11.85,434.848,17.12,,,PDF_Page_24,
Link-Belt,210LX,80.0,3.15,306.07,12.05,80.0,3.15,307.086,12.09,451.104,17.76,,,PDF_Page_24,
Link-Belt,225SA,80.0,3.15,306.07,12.05,80.0,3.15,307.086,12.09,444.754,17.51,,,PDF_Page_24,
Link-Belt,240LX,90.0,3.543,324.866,12.79,90.0,3.543,325.882,12.83,459.994,18.11,,,PDF_Page_24,
Link-Belt,290LX,90.0,3.543,325.12,12.8,90.0,3.543,325.882,12.83,459.994,18.11,,,PDF_Page_24,
Link-Belt,330LX,90.0,3.543,399.796,15.74,90.0,3.543,401.066,15.79,534.924,21.06,,,PDF_Page_24,
Link-Belt,460LX,100.0,3.937,479.044,18.86,100.0,3.937,480.06,18.9,569.976,22.44,,,PDF_Page_24,
Link-Belt,800LX,130.0,5.118,576.072,22.68,130.0,5.118,577.088,22.72,674.878,26.57,,,PDF_Page_24,
Link-Belt,1600 QUANTUM,50.0,1.969,189.992,7.48,50.0,1.969,191.008,7.52,299.974,11.81,,,PDF_Page_24,
Link-Belt,2650 QUANTUM,65.0,2.559,254.0,10.0,65.0,2.559,255.524,10.06,385.064,15.16,,,PDF_Page_24,
Link-Belt,2700 QUANTUM,80.0,3.15,299.974,11.81,80.0,3.15,300.99,11.85,435.102,17.13,,,PDF_Page_24,
Link-Belt,2800 QUANTUM,80.0,3.15,306.07,12.05,80.0,3.15,307.086,12.09,439.928,17.32,,,PDF_Page_24,
Link-Belt,3400 QUANTUM,90.0,3.543,324.866,12.79,90.0,3.543,325.882,12.83,459.994,18.11,,,PDF_Page_24,
Link-Belt,3900 QUANTUM,90.0,3.543,324.866,12.79,90.0,3.543,326.136,12.84,459.994,18.11,,,PDF_Page_24,
Link-Belt,4300 QUANTUM,90.0,3.543,401.066,15.79,90.0,3.543,403.098,15.87,564.896,22.24,,,PDF_Page_24,
Link-Belt,5800 QUANTUM,100.0,3.937,478.79,18.85,100.0,3.937,479.806,18.89,569.976,22.44,,,PDF_Page_24,
Link-Belt,8000 QUANTUM,130.0,5.118,576.072,22.68,130.0,5.118,577.088,22.72,674.878,26.57,,,PDF_Page_24,
Link-Belt,8000 QUANTUM MASS,130.0,5.118,576.072,22.68,130.0,5.118,577.088,22.72,674.878,26.57,,,PDF_Page_24,
Volvo,EC330B,110.0,4.331,439.928,17.32,100.0,3.937,400.0,15.748,570.0,22.441,1698.0,66.85,PDF_Page_31,
Volvo,EC330C,110.0,4.331,440.0,17.323,100.0,3.937,400.0,15.748,570.0,22.441,1698.0,66.85,PDF_Page_31,
Volvo,EC360,100.0,3.937,440.0,17.323,100.0,3.937,400.0,15.748,570.0,22.441,1700.0,66.929,PDF_Page_31,
Volvo,EC360B,110.0,4.331,439.928,17.32,100.0,3.937,400.0,15.748,570.0,22.441,1698.0,66.85,PDF_Page_31,
Volvo,EC360C,110.0,4.331,440.0,17.323,100.0,3.937,400.0,15.748,570.0,22.441,1698.0,66.85,PDF_Page_31,
Volvo,EC460,100.0,3.937,470.0,18.504,100.0,3.937,430.0,16.929,570.0,22.441,1845.0,72.638,PDF_Page_31,
Volvo,EC460B,110.0,4.331,469.9,18.5,100.0,3.937,430.0,16.929,570.0,22.441,1845.0,72.638,PDF_Page_31,
Volvo,EC460C,110.0,4.331,470.0,18.504,100.0,3.937,430.0,16.929,570.0,22.441,1845.0,72.638,PDF_Page_31,
Volvo,EC50/W,45.0,1.772,164.0,6.457,45.0,1.772,165.0,6.496,285.0,11.22,870.0,34.252,PDF_Page_31,
Volvo,EC700B,120.0,4.724,510.032,20.08,120.0,4.724,480.06,18.9,630.0,24.803,2150.0,84.646,PDF_Page_31,
Volvo,EC700C,120.0,4.724,510.0,20.079,120.0,4.724,480.0,18.898,630.0,24.803,2150.0,84.646,PDF_Page_31,
Volvo,ECR 58,45.0,1.772,159.004,6.26,45.0,1.772,161.036,6.34,284.988,11.22,,,PDF_Page_31,
Volvo,ECR 88,60.0,2.362,172.212,6.78,60.0,2.362,172.212,6.78,290.068,11.42,,,PDF_Page_31,
Volvo,ECR145C,65.0,2.559,274.0,10.787,65.0,2.559,275.0,10.827,380.0,14.961,1250.0,49.213,PDF_Page_31,
Volvo,ECR235C,80.0,3.15,325.0,12.795,80.0,3.15,326.0,12.835,467.0,18.386,1470.0,57.874,PDF_Page_31,
Volvo,ECR305C,90.0,3.543,410.0,16.142,90.0,3.543,411.0,16.181,495.0,19.488,1600.0,62.992,PDF_Page_31,
Volvo,EW130,65.0,2.559,274.0,10.787,65.0,2.559,275.0,10.827,380.0,14.961,1250.0,49.213,PDF_Page_31,
Volvo,EW140C,65.0,2.559,274.0,10.787,65.0,2.559,275.0,10.827,380.0,14.961,1233.0,48.543,PDF_Page_31,
Volvo,EW160,60.0,2.362,274.0,10.787,60.0,2.362,211.0,8.307,367.0,14.449,1265.0,49.803,PDF_Page_31,
Volvo,EW160B,70.0,2.756,289.0,11.378,70.0,2.756,290.0,11.417,430.0,16.929,1265.0,49.803,PDF_Page_31,
Volvo,EW160C,70.0,2.756,289.0,11.378,70.0,2.756,290.0,11.417,440.0,17.323,1350.0,53.15,PDF_Page_31,
Volvo,EW170,70.0,2.756,304.0,11.969,70.0,2.756,305.0,12.008,423.0,16.654,1420.0,55.906,PDF_Page_31,
Volvo,EW180,70.0,2.756,304.0,11.969,70.0,2.756,305.0,12.008,423.0,16.654,1420.0,55.906,PDF_Page_31,
Volvo,EW180B,70.0,2.756,304.0,11.969,70.0,2.756,305.0,12.008,412.0,16.22,1420.0,55.906,PDF_Page_31,KONZ config
Volvo,EW180C,70.0,2.756,304.0,11.969,70.0,2.756,305.0,12.008,423.0,16.654,1372.0,54.016,PDF_Page_31,
Volvo,EW210C,70.0,2.756,304.0,11.969,70.0,2.756,305.0,12.008,423.0,16.654,1399.0,55.079,PDF_Page_31,
Volvo,EW230C,80.0,3.15,325.0,12.795,80.0,3.15,326.0,12.835,467.0,18.386,1536.0,60.472,PDF_Page_31,
Volvo,MX 55/W,45.0,1.772,164.0,6.457,45.0,1.772,165.0,6.496,285.0,11.22,870.0,34.252,PDF_Page_31,
Volvo,MX135WS/LS,65.0,2.559,274.0,10.787,65.0,2.559,275.0,10.827,380.0,14.961,1250.0,49.213,PDF_Page_31,
Volvo,MX175WS,70.0,2.756,304.0,11.969,70.0,2.756,305.0,12.008,423.0,16.654,1420.0,55.906,PDF_Page_31,
Volvo,MX225LS,80.0,3.15,325.0,12.795,80.0,3.15,326.0,12.835,467.0,18.386,1470.0,57.874,PDF_Page_31,
Volvo,MX255LS,90.0,3.543,380.0,14.961,90.0,3.543,381.0,15.0,490.0,19.291,1540.0,60.63,PDF_Page_31,
Volvo,MX295LS,90.0,3.543,410.0,16.142,90.0,3.543,411.0,16.181,495.0,19.488,1600.0,62.992,PDF_Page_31,
Volvo,MX365LS,100.0,3.937,440.0,17.323,100.0,3.937,400.0,15.748,570.0,22.441,1700.0,66.929,PDF_Page_31,
Volvo,MX455LS,100.0,3.937,470.0,18.504,100.0,3.937,430.0,16.929,570.0,22.441,1845.0,72.638,PDF_Page_31,
Volvo,SE 50-3,45.0,1.772,164.0,6.457,45.0,1.772,165.0,6.496,285.0,11.22,870.0,34.252,PDF_Page_31,
Volvo,SE130W-3/LC-3,65.0,2.559,274.0,10.787,65.0,2.559,275.0,10.827,380.0,14.961,1250.0,49.213,PDF_Page_31,
Volvo,SE170W-3,70.0,2.756,304.0,11.969,70.0,2.756,305.0,12.008,423.0,16.654,1420.0,55.906,PDF_Page_31,
Volvo,SE210LC-3,80.0,3.15,325.0,12.795,80.0,3.15,326.0,12.835,467.0,18.386,1470.0,57.874,PDF_Page_31,
Volvo,SE240LC-3,90.0,3.543,380.0,14.961,90.0,3.543,381.0,15.0,490.0,19.291,1540.0,60.63,PDF_Page_32,
Volvo,SE280LC-3,90.0,3.543,410.0,16.142,90.0,3.543,411.0,16.181,495.0,19.488,1600.0,62.992,PDF_Page_32,
Volvo,SE360LC-3,100.0,3.937,440.0,17.323,100.0,3.937,400.0,15.748,570.0,22.441,1700.0,66.929,PDF_Page_32,
Volvo,SE460LC-3,100.0,3.937,470.0,18.504,100.0,3.937,430.0,16.929,570.0,22.441,1845.0,72.638,PDF_Page_32,
Wacker Neuson,803,25.0,0.984,100.0,3.937,25.0,0.984,100.0,3.937,86.3,3.398,,,PDF_Page_32,
Wacker Neuson,1403,32.0,1.26,118.0,4.646,32.0,1.26,118.0,4.646,129.5,5.098,,,PDF_Page_32,
Wacker Neuson,1404,32.0,1.26,118.0,4.646,32.0,1.26,118.0,4.646,129.5,5.098,,,PDF_Page_32,
Wacker Neuson,1503,32.0,1.26,118.0,4.646,32.0,1.26,118.0,4.646,129.5,5.098,,,PDF_Page_32,
Wacker Neuson,1903,32.0,1.26,118.0,4.646,32.0,1.26,118.0,4.646,129.5,5.098,,,PDF_Page_32,
Wacker Neuson,2203,32.0,1.26,118.0,4.646,32.0,1.26,118.0,4.646,129.5,5.098,,,PDF_Page_32,
Wacker Neuson,2503,32.0,1.26,118.0,4.646,32.0,1.26,118.0,4.646,129.5,5.098,,,PDF_Page_32,
Wacker Neuson,3003,40.0,1.575,140.0,5.512,40.0,1.575,140.0,5.512,180.0,7.087,,,PDF_Page_32,
Wacker Neuson,3503,40.0,1.575,140.0,5.512,40.0,1.575,140.0,5.512,180.0,7.087,,,PDF_Page_32,
Wacker Neuson,3703,40.0,1.575,140.0,5.512,40.0,1.575,140.0,5.512,180.0,7.087,,,PDF_Page_32,
Wacker Neuson,5002,50.0,1.969,195.0,7.677,50.0,1.969,195.0,7.677,235.0,9.252,,,PDF_Page_32,
Wacker Neuson,6002,50.0,1.969,195.0,7.677,50.0,1.969,195.0,7.677,235.0,9.252,,,PDF_Page_32,
Wacker Neuson,6003,50.0,1.969,195.0,7.677,50.0,1.969,195.0,7.677,240.0,9.449,,,PDF_Page_32,
Wacker Neuson,6502,50.0,1.969,195.0,7.677,50.0,1.969,195.0,7.677,236.0,9.291,,,PDF_Page_32,
Wacker Neuson,6503,50.0,1.969,195.0,7.677,50.0,1.969,195.0,7.677,240.0,9.449,,,PDF_Page_32,
Wacker Neuson,8003,55.0,2.165,169.5,6.673,55.0,2.165,169.5,6.673,300.0,11.811,,,PDF_Page_32,
Wacker Neuson,9503,55.0,2.165,169.5,6.673,55.0,2.165,169.5,6.673,300.0,11.811,,,PDF_Page_32,
Wacker Neuson,12002,60.0,2.362,220.0,8.661,60.0,2.362,220.0,8.661,335.0,13.189,,,PDF_Page_32,
Wacker Neuson,28Z3,40.0,1.575,140.0,5.512,40.0,1.575,140.0,5.512,180.0,7.087,,,PDF_Page_32,
Wacker Neuson,38z3,40.0,1.575,140.0,5.512,40.0,1.575,140.0,5.512,180.0,7.087,,,PDF_Page_32,
Wacker Neuson,50z3,50.0,1.969,195.0,7.677,50.0,1.969,195.0,7.677,240.0,9.449,,,PDF_Page_32,
Wacker Neuson,75z3,55.0,2.165,169.5,6.673,55.0,2.165,169.5,6.673,300.0,11.811,,,PDF_Page_32,
Yanmar,B 7,50.0,1.969,222.0,8.74,50.0,1.969,222.0,8.74,278.0,10.945,,,PDF_Page_32,
Yanmar,B 7 SIGMA,50.0,1.969,198.12,7.8,50.0,1.969,199.898,7.87,311.912,12.28,,,PDF_Page_32,
Yanmar,B 7-3,50.0,1.969,199.898,7.87,50.0,1.969,199.898,7.87,312.166,12.29,,,PDF_Page_32,
Yanmar,B 8-3,25.0,0.984,97.0,3.819,25.0,0.984,97.0,3.819,100.0,3.937,,,PDF_Page_32,
Yanmar,B 10,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,122.0,4.803,,,PDF_Page_32,
Yanmar,B 12,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,122.0,4.803,,,PDF_Page_32,
Yanmar,B 14,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,105.1,4.138,,,PDF_Page_32,
Yanmar,B 15,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,122.0,4.803,,,PDF_Page_32,
Yanmar,B 17,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,105.1,4.138,,,PDF_Page_32,
Yanmar,B 19,35.0,1.378,124.0,4.882,35.0,1.378,124.0,4.882,165.0,6.496,,,PDF_Page_33,
Yanmar,B 22,35.0,1.378,123.0,4.843,35.0,1.378,123.0,4.843,180.0,7.087,,,PDF_Page_33,
Yanmar,B201,35.0,1.378,124.0,4.882,35.0,1.378,124.0,4.882,165.0,6.496,,,PDF_Page_33,
Yanmar,B 25,38.0,1.496,141.0,5.551,38.0,1.496,141.0,5.551,213.0,8.386,,,PDF_Page_33,
Yanmar,B 27,38.0,1.496,141.0,5.551,38.0,1.496,141.0,5.551,213.0,8.386,,,PDF_Page_33,
Yanmar,B 30V,38.0,1.496,141.0,5.551,38.0,1.496,141.0,5.551,213.0,8.386,,,PDF_Page_33,
Yanmar,B 37,38.0,1.496,141.0,5.551,38.0,1.496,141.0,5.551,213.0,8.386,,,PDF_Page_33,
Yanmar,B 50,45.0,1.772,165.0,6.496,45.0,1.772,165.0,6.496,270.0,10.63,,,PDF_Page_33,
Yanmar,B 50-2,45.0,1.772,165.0,6.496,45.0,1.772,165.0,6.496,270.0,10.63,,,PDF_Page_33,
Yanmar,B 50-2B,45.0,1.772,153.924,6.06,45.0,1.772,154.94,6.1,270.002,10.63,,,PDF_Page_33,
Yanmar,B121,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,122.0,4.803,,,PDF_Page_33,
Yanmar,VIO10,25.0,0.984,97.0,3.819,25.0,0.984,97.0,3.819,100.0,3.937,,,PDF_Page_33,
Yanmar,VIO15-1,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,105.1,4.138,,,PDF_Page_33,
Yanmar,VIO15-2,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,105.1,4.138,,,PDF_Page_33,
Yanmar,VIO17,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,105.1,4.138,,,PDF_Page_33,
Yanmar,VIO20,35.0,1.378,124.0,4.882,35.0,1.378,124.0,4.882,180.0,7.087,,,PDF_Page_33,
Yanmar,VIO20-1,35.0,1.378,123.0,4.843,35.0,1.378,123.0,4.843,180.0,7.087,,,PDF_Page_33,
Yanmar,VIO20-2,35.0,1.378,123.0,4.843,35.0,1.378,123.0,4.843,180.0,7.087,,,PDF_Page_33,
Yanmar,VIO20-3,35.0,1.378,123.0,4.843,35.0,1.378,123.0,4.843,180.0,7.087,,,PDF_Page_33,
Yanmar,VIO27-2,38.0,1.496,141.0,5.551,38.0,1.496,141.0,5.551,213.0,8.386,,,PDF_Page_33,
Yanmar,VIO30,38.0,1.496,142.0,5.591,38.0,1.496,142.0,5.591,215.0,8.465,,,PDF_Page_33,
Yanmar,VIO30-1,38.0,1.496,141.0,5.551,38.0,1.496,141.0,5.551,213.0,8.386,,,PDF_Page_33,
Yanmar,VIO35-2,38.0,1.496,141.0,5.551,38.0,1.496,141.0,5.551,213.0,8.386,,,PDF_Page_33,
Yanmar,VIO40-1,45.0,1.772,165.0,6.496,45.0,1.772,165.0,6.496,270.0,10.63,,,PDF_Page_33,
Yanmar,VIO40-2,45.0,1.772,165.0,6.496,45.0,1.772,165.0,6.496,270.0,10.63,,,PDF_Page_33,
Yanmar,VIO40 Import to UK,38.0,1.496,142.0,5.591,38.0,1.496,142.0,5.591,215.0,8.465,,,PDF_Page_33,
Yanmar,VIO40V,45.0,1.772,165.0,6.496,45.0,1.772,165.0,6.496,270.0,10.63,,,PDF_Page_33,
Yanmar,VIO45,45.0,1.772,165.0,6.496,45.0,1.772,165.0,6.496,270.0,10.63,,,PDF_Page_33,
Yanmar,VIO45-5,45.0,1.772,164.846,6.49,45.0,1.772,164.846,6.49,270.002,10.63,,,PDF_Page_33,
Yanmar,VIO50,45.0,1.772,165.0,6.496,45.0,1.772,165.0,6.496,270.0,10.63,,,PDF_Page_33,
Yanmar,VIO50-1,45.0,1.772,165.0,6.496,45.0,1.772,165.0,6.496,270.0,10.63,,,PDF_Page_33,
Yanmar,VIO50-2,45.0,1.772,165.0,6.496,45.0,1.772,165.0,6.496,270.0,10.63,,,PDF_Page_33,
Yanmar,VIO55,45.0,1.772,165.0,6.496,45.0,1.772,165.0,6.496,270.0,10.63,,,PDF_Page_33,
Yanmar,VIO55-5,45.0,1.772,164.846,6.49,45.0,1.772,164.846,6.49,270.002,10.63,,,PDF_Page_33,
Yanmar,VIO70,50.0,1.969,199.898,7.87,50.0,1.969,200.0,7.874,312.2,12.291,,,PDF_Page_33,
Yanmar,VIO75,50.0,1.969,199.898,7.87,50.0,1.969,200.0,7.874,312.2,12.291,,,PDF_Page_33,
Yanmar,YB 50,45.0,1.772,165.0,6.496,45.0,1.772,165.0,6.496,240.0,9.449,,,PDF_Page_33,
Yanmar,YB301,38.0,1.496,141.0,5.551,38.0,1.496,141.0,5.551,213.0,8.386,,,PDF_Page_33,
Yanmar,YB351,38.0,1.496,141.0,5.551,38.0,1.496,141.0,5.551,213.0,8.386,,,PDF_Page_33,
Yuchai,YC 35SR,40.0,1.575,141.0,5.551,40.0,1.575,141.0,5.551,185.0,7.283,,,PDF_Page_33,
Yuchai,YC135-7,65.0,2.559,249.0,9.803,70.0,2.756,249.0,9.803,390.0,15.354,,,PDF_Page_33,
Hydrema,M1100,60.0,2.362,280.0,11.024,60.0,2.362,280.0,11.024,340.0,13.386,,,PDF_Page_11,
Ingersoll-Rand,ZX125,50.0,1.969,220.98,8.7,50.0,1.969,221.234,8.71,289.814,11.41,,,PDF_Page_12,
Kramer-Allrad,316 Series 2,40.0,1.575,162.052,6.38,40.0,1.575,157.988,6.22,,,,,PDF_Page_22,Missing pin centers
Kramer-Allrad,616S,50.0,1.969,182.88,7.2,50.0,1.969,182.88,7.2,274.828,10.82,,,PDF_Page_22,
Libra,116,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,125.0,4.921,,,PDF_Page_23,
Libra,225S,35.0,1.378,135.0,5.315,35.0,1.378,135.0,5.315,185.0,7.283,,,PDF_Page_23,
Libra,229S,35.0,1.378,135.0,5.315,35.0,1.378,135.0,5.315,165.0,6.496,,,PDF_Page_23,
Libra,2345,35.0,1.378,136.0,5.354,35.0,1.378,136.0,5.354,162.8,6.409,,,PDF_Page_23,
LiuGong,922,80.0,3.15,335.0,13.189,80.0,3.15,335.0,13.189,475.0,18.701,,,PDF_Page_24,
LiuGong,925,80.0,3.15,335.0,13.189,80.0,3.15,335.0,13.189,475.0,18.701,,,PDF_Page_24,
MacMotor,M8M,50.0,1.969,168.0,6.614,50.0,1.969,168.0,6.614,355.0,13.976,,,PDF_Page_24,
MacMotor,MSM,40.0,1.575,142.0,5.591,40.0,1.575,142.0,5.591,296.0,11.654,,,PDF_Page_24,
Melroe,PC400-6,100.0,3.937,369.824,14.56,100.0,3.937,371.094,14.61,,,21.14,,PDF_Page_24,Missing pin centers
Mitsubishi,MS 180,75.0,2.953,312.0,12.283,75.0,2.953,312.0,12.283,435.0,17.126,,,PDF_Page_24,
Mustang,ME12002,60.0,2.362,219.964,8.66,60.0,2.362,219.964,8.66,334.772,13.18,,,PDF_Page_24,
Caterpillar,301.7 CR,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,126.5,4.98,,,New_2019,Next Generation mini excavator
Caterpillar,302 CR,35.0,1.378,135.0,5.315,35.0,1.378,135.0,5.315,165.0,6.496,,,New_2019,Next Generation mini excavator
Caterpillar,303 CR,40.0,1.575,135.0,5.315,40.0,1.575,135.0,5.315,200.0,7.874,763.0,30.039,New_2019,Next Generation mini excavator
Caterpillar,304 CR,45.0,1.772,156.0,6.142,45.0,1.772,156.0,6.142,260.0,10.236,,,New_2020,Next Generation mini excavator
Caterpillar,305 CR,45.0,1.772,156.0,6.142,45.0,1.772,156.0,6.142,260.0,10.236,,,New_2020,Next Generation mini excavator
Caterpillar,306 CR,50.0,1.969,185.0,7.283,50.0,1.969,185.0,7.283,305.0,12.008,,,New_2020,Next Generation mini excavator
Caterpillar,308 CR,50.0,1.969,201.0,7.913,50.0,1.969,201.0,7.913,305.0,12.008,,,New_2021,Next Generation mini excavator
Caterpillar,310,65.0,2.559,221.0,8.701,65.0,2.559,221.0,8.701,407.0,16.024,,,New_2021,Next Generation compact excavator
Caterpillar,313,65.0,2.559,221.0,8.701,65.0,2.559,221.0,8.701,407.0,16.024,,,New_2022,Next Generation compact excavator
Caterpillar,315,70.0,2.756,281.0,11.063,70.0,2.756,281.0,11.063,463.0,18.236,,,New_2022,Next Generation compact excavator
Caterpillar,318,80.0,3.15,311.0,12.244,80.0,3.15,311.0,12.244,445.0,17.52,,,New_2023,Next Generation compact excavator
Caterpillar,320,80.0,3.15,311.0,12.244,80.0,3.15,311.0,12.244,445.0,17.52,,,New_2023,Next Generation excavator
Caterpillar,323,90.0,3.543,351.0,13.819,90.0,3.543,351.0,13.819,485.0,19.094,,,New_2024,Next Generation excavator
Caterpillar,326,90.0,3.543,385.0,15.157,90.0,3.543,385.0,15.157,512.0,20.157,,,New_2024,Next Generation excavator
Caterpillar,330,100.0,3.937,425.0,16.732,100.0,3.937,425.0,16.732,586.0,23.071,,,New_2024,Next Generation excavator
Komatsu,PC30MR-5,35.0,1.378,135.0,5.315,35.0,1.378,135.0,5.315,165.0,6.496,,,New_2019,Dash-5 series mini excavator
Komatsu,PC35MR-5,40.0,1.575,135.0,5.315,40.0,1.575,135.0,5.315,200.0,7.874,,,New_2019,Dash-5 series mini excavator
Komatsu,PC40MR-5,45.0,1.772,156.0,6.142,45.0,1.772,156.0,6.142,260.0,10.236,,,New_2020,Dash-5 series mini excavator
Komatsu,PC45MR-5,45.0,1.772,156.0,6.142,45.0,1.772,156.0,6.142,260.0,10.236,,,New_2020,Dash-5 series mini excavator
Komatsu,PC55MR-5,50.0,1.969,185.0,7.283,50.0,1.969,185.0,7.283,305.0,12.008,,,New_2020,Dash-5 series mini excavator
Komatsu,PC78US-11,55.0,2.165,195.0,7.677,55.0,2.165,195.0,7.677,275.0,10.827,,,New_2021,Dash-11 series compact excavator
Komatsu,PC88MR-11,60.0,2.362,200.0,7.874,60.0,2.362,200.0,7.874,300.0,11.811,,,New_2021,Dash-11 series compact excavator
Komatsu,PC130-11,65.0,2.559,255.0,10.039,65.0,2.559,255.0,10.039,385.0,15.157,,,New_2022,Dash-11 series excavator
Komatsu,PC170LC-11,70.0,2.756,305.0,12.008,70.0,2.756,305.0,12.008,435.0,17.126,,,New_2022,Dash-11 series excavator
Komatsu,PC210LC-11,80.0,3.15,326.0,12.835,80.0,3.15,326.0,12.835,458.0,18.031,,,New_2023,Dash-11 series excavator
Komatsu,PC240LC-11,80.0,3.15,326.0,12.835,80.0,3.15,326.0,12.835,458.0,18.031,,,New_2023,Dash-11 series excavator
Komatsu,PC290LC-11,90.0,3.543,346.0,13.622,90.0,3.543,346.0,13.622,513.0,20.197,,,New_2024,Dash-11 series excavator
Komatsu,PC360LC-11,100.0,3.937,372.0,14.646,100.0,3.937,372.0,14.646,537.0,21.142,,,New_2024,Dash-11 series excavator
Volvo,EC18E,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,126.0,4.961,,,New_2019,E-series compact excavator
Volvo,EC20E,35.0,1.378,135.0,5.315,35.0,1.378,135.0,5.315,165.0,6.496,,,New_2019,E-series compact excavator
Volvo,EC27E,40.0,1.575,135.0,5.315,40.0,1.575,135.0,5.315,200.0,7.874,,,New_2020,E-series compact excavator
Volvo,EC35E,45.0,1.772,156.0,6.142,45.0,1.772,156.0,6.142,260.0,10.236,,,New_2020,E-series compact excavator
Volvo,EC55E,50.0,1.969,185.0,7.283,50.0,1.969,185.0,7.283,305.0,12.008,,,New_2021,E-series compact excavator
Volvo,EC75E,55.0,2.165,195.0,7.677,55.0,2.165,195.0,7.677,275.0,10.827,,,New_2021,E-series compact excavator
