Manufacturer,Model,Stick_Pin_Diameter_mm,Stick_Pin_Diameter_inch,Stick_Width_mm,Stick_Width_inch,Link_Pin_Diameter_mm,Link_Pin_Diameter_inch,Link_Width_mm,Link_Width_inch,Pin_Centers_mm,Pin_Centers_inch,Tip_Radius_mm,Tip_Radius_inch,Data_Source,Notes
Volvo,EC140E,65.0,2.559,274.0,10.787,65.0,2.559,275.0,10.827,380.0,14.961,,,New_2022,E-series excavator
Volvo,EC200E,80.0,3.15,304.0,11.969,80.0,3.15,305.0,12.008,423.0,16.654,,,New_2022,E-series excavator
Volvo,EC220E,80.0,3.15,325.0,12.795,80.0,3.15,326.0,12.835,467.0,18.386,,,New_2023,E-series excavator
Volvo,EC250E,90.0,3.543,380.0,14.961,90.0,3.543,381.0,15.0,490.0,19.291,,,New_2023,E-series excavator
Volvo,EC300E,90.0,3.543,410.0,16.142,90.0,3.543,411.0,16.181,495.0,19.488,,,New_2024,E-series excavator
Volvo,EC380E,100.0,3.937,440.0,17.323,100.0,3.937,400.0,15.748,570.0,22.441,,,New_2024,E-series excavator
JCB,JZ140,65.0,2.559,255.0,10.039,65.0,2.559,255.0,10.039,385.0,15.157,,,New_2019,JZ series excavator
JCB,JZ141,65.0,2.559,255.0,10.039,65.0,2.559,255.0,10.039,385.0,15.157,,,New_2019,JZ series excavator
JCB,8026CTS,35.0,1.378,136.0,5.354,35.0,1.378,136.0,5.354,130.0,5.118,,,New_2020,Compact track loader excavator
JCB,8030ZTS,35.0,1.378,136.0,5.354,35.0,1.378,136.0,5.354,125.0,4.921,,,New_2020,Zero tail swing excavator
JCB,8035ZTS,40.0,1.575,159.0,6.26,40.0,1.575,159.0,6.26,343.0,13.504,,,New_2021,Zero tail swing excavator
JCB,8040ZTS,40.0,1.575,159.0,6.26,40.0,1.575,159.0,6.26,343.0,13.504,,,New_2021,Zero tail swing excavator
JCB,8050RTS,45.0,1.772,171.45,6.75,45.0,1.772,171.45,6.75,355.6,14.0,,,New_2022,Reduced tail swing excavator
JCB,8055RTS,45.0,1.772,171.45,6.75,45.0,1.772,171.45,6.75,355.6,14.0,,,New_2022,Reduced tail swing excavator
JCB,JS115,65.0,2.559,255.0,10.039,65.0,2.559,255.0,10.039,385.0,15.157,,,New_2023,JS series excavator
JCB,JS145,80.0,3.15,301.0,11.85,80.0,3.15,301.0,11.85,435.0,17.126,,,New_2023,JS series excavator
JCB,JS175,80.0,3.15,307.0,12.087,80.0,3.15,307.0,12.087,450.0,17.717,,,New_2024,JS series excavator
JCB,JS205,80.0,3.15,307.0,12.087,80.0,3.15,307.0,12.087,450.0,17.717,,,New_2024,JS series excavator
Hitachi,ZX17U-6,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,126.0,4.961,,,New_2019,Zaxis-6 series mini excavator
Hitachi,ZX19U-6,35.0,1.378,135.0,5.315,35.0,1.378,135.0,5.315,165.0,6.496,,,New_2019,Zaxis-6 series mini excavator
Hitachi,ZX26U-6,40.0,1.575,135.0,5.315,40.0,1.575,135.0,5.315,200.0,7.874,,,New_2020,Zaxis-6 series mini excavator
Hitachi,ZX30U-6,45.0,1.772,156.0,6.142,45.0,1.772,156.0,6.142,260.0,10.236,,,New_2020,Zaxis-6 series mini excavator
Hitachi,ZX38U-6,45.0,1.772,156.0,6.142,45.0,1.772,156.0,6.142,260.0,10.236,,,New_2021,Zaxis-6 series mini excavator
Hitachi,ZX48U-6,50.0,1.969,185.0,7.283,50.0,1.969,185.0,7.283,305.0,12.008,,,New_2021,Zaxis-6 series mini excavator
Hitachi,ZX55U-6,50.0,1.969,185.0,7.283,50.0,1.969,185.0,7.283,305.0,12.008,,,New_2022,Zaxis-6 series mini excavator
Hitachi,ZX85USB-6,60.0,2.362,200.0,7.874,60.0,2.362,200.0,7.874,300.0,11.811,,,New_2022,Zaxis-6 series compact excavator
Hitachi,ZX135US-6,65.0,2.559,255.0,10.039,65.0,2.559,255.0,10.039,385.0,15.157,,,New_2023,Zaxis-6 series excavator
Hitachi,ZX160LC-6,70.0,2.756,305.0,12.008,70.0,2.756,305.0,12.008,435.0,17.126,,,New_2023,Zaxis-6 series excavator
Hitachi,ZX210LC-6,80.0,3.15,326.0,12.835,80.0,3.15,326.0,12.835,458.0,18.031,,,New_2024,Zaxis-6 series excavator
Hitachi,ZX250LC-6,90.0,3.543,346.0,13.622,90.0,3.543,346.0,13.622,513.0,20.197,,,New_2024,Zaxis-6 series excavator
Hyundai,HX17Z,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,126.4,4.976,,,New_2019,HX Z-series mini excavator
Hyundai,HX20Z,35.0,1.378,124.0,4.882,35.0,1.378,124.0,4.882,165.0,6.496,,,New_2019,HX Z-series mini excavator
Hyundai,HX27Z,40.0,1.575,141.0,5.551,40.0,1.575,141.0,5.551,213.0,8.386,,,New_2020,HX Z-series mini excavator
Hyundai,HX35Z,45.0,1.772,167.0,6.575,45.0,1.772,167.0,6.575,230.0,9.055,,,New_2020,HX Z-series mini excavator
Hyundai,HX55Z,50.0,1.969,195.0,7.677,50.0,1.969,195.0,7.677,275.0,10.846,,,New_2021,HX Z-series compact excavator
Hyundai,HX85A,60.0,2.362,225.0,8.858,60.0,2.362,225.0,8.858,308.0,12.126,,,New_2021,HX A-series compact excavator
Hyundai,HX140A,65.0,2.559,260.0,10.236,65.0,2.559,260.0,10.236,390.0,15.354,,,New_2022,HX A-series excavator
Hyundai,HX160A,70.0,2.756,308.0,12.126,70.0,2.756,308.0,12.126,411.7,16.209,,,New_2022,HX A-series excavator
Hyundai,HX220A,80.0,3.15,332.0,13.071,80.0,3.15,332.0,13.071,460.0,18.11,,,New_2023,HX A-series excavator
Hyundai,HX260A,90.0,3.543,400.0,15.748,90.0,3.543,400.0,15.748,510.0,20.079,,,New_2023,HX A-series excavator
Hyundai,HX300A,100.0,3.937,432.0,17.008,100.0,3.937,432.0,17.008,550.0,21.654,,,New_2024,HX A-series excavator
Hyundai,HX380A,100.0,3.937,432.0,17.008,100.0,3.937,432.0,17.008,577.0,22.717,,,New_2024,HX A-series excavator
Case,CX17C,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,121.0,4.764,,,New_2019,C-series mini excavator
Case,CX20C,35.0,1.378,124.0,4.882,35.0,1.378,124.0,4.882,180.0,7.087,,,New_2019,C-series mini excavator
Case,CX26C,35.0,1.378,124.0,4.882,35.0,1.378,124.0,4.882,180.0,7.087,,,New_2020,C-series mini excavator
Case,CX33C,40.0,1.575,141.0,5.551,40.0,1.575,141.0,5.551,192.0,7.559,,,New_2020,C-series mini excavator
Case,CX37C,40.0,1.575,127.0,5.0,40.0,1.575,127.0,5.0,191.0,7.52,,,New_2021,C-series mini excavator
Case,CX55C,45.0,1.772,151.0,5.945,45.0,1.772,151.0,5.945,228.0,8.976,,,New_2021,C-series compact excavator
Case,CX85C,50.0,1.969,192.0,7.559,50.0,1.969,192.0,7.559,300.0,11.811,,,New_2022,C-series compact excavator
Case,CX145C,65.0,2.559,255.0,10.039,65.0,2.559,255.0,10.039,385.0,15.157,,,New_2022,C-series excavator
Case,CX175C,80.0,3.15,300.0,11.811,80.0,3.15,300.0,11.811,435.0,17.126,,,New_2023,C-series excavator
Case,CX245C,80.0,3.15,307.0,12.087,80.0,3.15,307.0,12.087,450.0,17.717,,,New_2023,C-series excavator
Case,CX300C,90.0,3.543,326.0,12.835,90.0,3.543,326.0,12.835,468.0,18.425,,,New_2024,C-series excavator
Case,CX370C,90.0,3.543,401.0,15.787,90.0,3.543,401.0,15.787,535.0,21.063,,,New_2024,C-series excavator
John Deere,17G,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,121.0,4.764,,,New_2019,G-series mini excavator
John Deere,26G,35.0,1.378,124.0,4.882,35.0,1.378,124.0,4.882,180.0,7.087,,,New_2019,G-series mini excavator
John Deere,30G,35.0,1.378,124.0,4.882,35.0,1.378,124.0,4.882,180.0,7.087,,,New_2020,G-series mini excavator
John Deere,35G,40.0,1.575,141.0,5.551,40.0,1.575,141.0,5.551,192.0,7.559,,,New_2020,G-series mini excavator
John Deere,50G,45.0,1.772,151.0,5.945,45.0,1.772,151.0,5.945,228.0,8.976,,,New_2021,G-series compact excavator
John Deere,85G,50.0,1.969,199.898,7.87,50.0,1.969,202.438,7.97,309.88,12.2,,,New_2021,G-series compact excavator
John Deere,135G,65.0,2.559,254.0,10.0,65.0,2.559,254.0,10.0,361.95,14.25,,,New_2022,G-series excavator
John Deere,180G,80.0,3.15,304.8,12.0,80.0,3.15,307.086,12.09,390.906,15.39,,,New_2022,G-series excavator
John Deere,210G,80.0,3.15,304.8,12.0,80.0,3.15,307.086,12.09,471.932,18.58,,,New_2023,G-series excavator
John Deere,245G,90.0,3.543,408.432,16.08,90.0,3.543,409.956,16.14,474.98,18.7,,,New_2023,G-series excavator
John Deere,300G,100.0,3.937,418.084,16.46,100.0,3.937,420.116,16.54,584.962,23.03,,,New_2024,G-series excavator
John Deere,380G,110.0,4.331,469.9,18.5,110.0,4.331,471.932,18.58,572.008,22.52,,,New_2024,G-series excavator
Kubota,KX018-4,25.0,0.984,95.5,3.76,25.0,0.984,95.5,3.76,90.0,3.543,,,New_2019,KX-4 series mini excavator
Kubota,KX027-4,30.0,1.181,110.0,4.331,30.0,1.181,110.0,4.331,132.0,5.197,,,New_2019,KX-4 series mini excavator
Kubota,KX033-4,35.0,1.378,134.0,5.276,35.0,1.378,134.0,5.276,132.2,5.205,,,New_2020,KX-4 series mini excavator
Kubota,KX040-4,40.0,1.575,134.0,5.276,40.0,1.575,134.0,5.276,171.6,6.756,,,New_2020,KX-4 series mini excavator
Kubota,KX057-4,45.0,1.772,145.0,5.709,45.0,1.772,145.0,5.709,245.3,9.657,,,New_2021,KX-4 series compact excavator
Kubota,KX080-4,60.0,2.362,200.152,7.88,60.0,2.362,200.0,7.874,300.0,11.811,,,New_2021,KX-4 series compact excavator
Kubota,U17-4,25.0,0.984,95.5,3.76,25.0,0.984,95.5,3.76,90.0,3.543,,,New_2022,U-4 series mini excavator
Kubota,U25-4,30.0,1.181,109.0,4.291,30.0,1.181,109.0,4.291,139.0,5.472,,,New_2022,U-4 series mini excavator
Kubota,U35-4,40.0,1.575,136.0,5.354,40.0,1.575,136.0,5.354,186.5,7.343,,,New_2023,U-4 series mini excavator
Kubota,U45-4,45.0,1.772,146.0,5.748,45.0,1.772,146.0,5.748,245.0,9.646,,,New_2023,U-4 series compact excavator
Kubota,U55-4,50.0,1.969,184.0,7.244,50.0,1.969,184.0,7.244,292.0,11.496,,,New_2024,U-4 series compact excavator
Kubota,KX121-4,40.0,1.575,134.0,5.276,40.0,1.575,134.0,5.276,180.0,7.087,,,New_2024,KX-4 series compact excavator
Liebherr,R906 Compact,60.0,2.362,280.0,11.024,60.0,2.362,280.0,11.024,330.0,12.992,,,New_2019,R900 series compact excavator
Liebherr,R914 Compact,70.0,2.756,307.848,12.12,60.0,2.362,307.848,12.12,369.824,14.56,,,New_2019,R900 series compact excavator
Liebherr,R918 Compact,80.0,3.15,347.98,13.7,70.0,2.756,347.98,13.7,419.862,16.53,,,New_2020,R900 series compact excavator
Liebherr,R924 Compact,80.0,3.15,347.98,13.7,70.0,2.756,347.98,13.7,419.862,16.53,,,New_2020,R900 series compact excavator
Liebherr,R930 Compact,80.0,3.15,508.0,20.0,70.0,2.756,508.0,20.0,420.116,16.54,,,New_2021,R900 series compact excavator
Liebherr,R938 Compact,90.0,3.543,300.0,11.811,90.0,3.543,275.0,10.827,505.0,19.882,,,New_2021,R900 series excavator
Liebherr,R945,100.0,3.937,425.0,16.732,100.0,3.937,425.0,16.732,586.0,23.071,,,New_2022,R900 series excavator
Liebherr,R950,110.0,4.331,465.0,18.307,110.0,4.331,467.0,18.386,660.0,25.984,,,New_2022,R900 series excavator
Liebherr,R960,120.0,4.724,510.0,20.079,120.0,4.724,480.0,18.898,630.0,24.803,,,New_2023,R900 series excavator
Liebherr,R970,130.0,5.118,557.022,21.93,130.0,5.118,557.022,21.93,675.894,26.61,,,New_2023,R900 series excavator
Liebherr,R980,140.0,5.512,600.0,23.622,140.0,5.512,600.0,23.622,720.0,28.346,,,New_2024,R900 series excavator
Liebherr,R990,150.0,5.906,650.0,25.591,150.0,5.906,650.0,25.591,780.0,30.709,,,New_2024,R900 series excavator
Bobcat,E10e,25.0,0.984,95.0,3.74,25.0,0.984,95.0,3.74,90.0,3.543,,,New_2019,E-series electric mini excavator
Bobcat,E17e,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,120.0,4.724,,,New_2019,E-series electric mini excavator
Bobcat,E20z,35.0,1.378,135.0,5.315,35.0,1.378,135.0,5.315,165.0,6.496,,,New_2020,E-series zero tail swing excavator
Bobcat,E26,35.0,1.378,135.0,5.315,35.0,1.378,135.0,5.315,165.0,6.496,,,New_2020,E-series compact excavator
Bobcat,E32,40.0,1.575,160.0,6.299,40.0,1.575,160.0,6.299,220.0,8.661,,,New_2021,E-series compact excavator
Bobcat,E35,45.0,1.772,160.0,6.299,45.0,1.772,160.0,6.299,220.0,8.661,,,New_2021,E-series compact excavator
Bobcat,E42,50.0,1.969,180.0,7.087,50.0,1.969,175.0,6.89,275.0,10.827,,,New_2022,E-series compact excavator
Bobcat,E50,50.0,1.969,220.98,8.7,50.0,1.969,221.234,8.71,289.814,11.41,,,New_2022,E-series compact excavator
Bobcat,E55,55.0,2.165,225.0,8.858,55.0,2.165,225.0,8.858,308.0,12.126,,,New_2023,E-series compact excavator
Bobcat,E60,60.0,2.362,250.0,9.843,60.0,2.362,250.0,9.843,350.0,13.78,,,New_2023,E-series compact excavator
Bobcat,E85,65.0,2.559,255.0,10.039,65.0,2.559,255.0,10.039,385.0,15.157,,,New_2024,E-series compact excavator
Bobcat,E145,80.0,3.15,300.0,11.811,80.0,3.15,300.0,11.811,435.0,17.126,,,New_2024,E-series excavator
Takeuchi,TB210R,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,126.0,4.961,,,New_2019,TB-R series mini excavator
Takeuchi,TB216,35.0,1.378,135.0,5.315,35.0,1.378,135.0,5.315,165.0,6.496,,,New_2019,TB series mini excavator
Takeuchi,TB219,35.0,1.378,135.0,5.315,35.0,1.378,135.0,5.315,165.0,6.496,,,New_2020,TB series mini excavator
Takeuchi,TB225,40.0,1.575,156.0,6.142,40.0,1.575,156.0,6.142,260.0,10.236,,,New_2020,TB series mini excavator
Takeuchi,TB230,45.0,1.772,156.0,6.142,45.0,1.772,156.0,6.142,260.0,10.236,,,New_2021,TB series compact excavator
Takeuchi,TB240,50.0,1.969,185.0,7.283,50.0,1.969,185.0,7.283,305.0,12.008,,,New_2021,TB series compact excavator
Takeuchi,TB260,60.0,2.362,200.0,7.874,60.0,2.362,200.0,7.874,300.0,11.811,,,New_2022,TB series compact excavator
Takeuchi,TB285,65.0,2.559,255.0,10.039,65.0,2.559,255.0,10.039,385.0,15.157,,,New_2022,TB series excavator
Takeuchi,TB290,70.0,2.756,305.0,12.008,70.0,2.756,305.0,12.008,435.0,17.126,,,New_2023,TB series excavator
Takeuchi,TB295,80.0,3.15,326.0,12.835,80.0,3.15,326.0,12.835,458.0,18.031,,,New_2023,TB series excavator
Takeuchi,TB2150,90.0,3.543,346.0,13.622,90.0,3.543,346.0,13.622,513.0,20.197,,,New_2024,TB series excavator
Takeuchi,TB2160,100.0,3.937,372.0,14.646,100.0,3.937,372.0,14.646,537.0,21.142,,,New_2024,TB series excavator
Kobelco,SK17SR-6E,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,126.0,4.961,,,New_2019,SK-6E series mini excavator
Kobelco,SK20SR-6E,35.0,1.378,135.0,5.315,35.0,1.378,135.0,5.315,165.0,6.496,,,New_2019,SK-6E series mini excavator
Kobelco,SK27SR-6E,40.0,1.575,135.0,5.315,40.0,1.575,135.0,5.315,200.0,7.874,,,New_2020,SK-6E series mini excavator
Kobelco,SK35SR-6E,45.0,1.772,156.0,6.142,45.0,1.772,156.0,6.142,260.0,10.236,,,New_2020,SK-6E series mini excavator
Kobelco,SK55SRX-6E,50.0,1.969,185.0,7.283,50.0,1.969,185.0,7.283,305.0,12.008,,,New_2021,SK-6E series compact excavator
Kobelco,SK85MSR-3E,60.0,2.362,200.0,7.874,60.0,2.362,200.0,7.874,300.0,11.811,,,New_2021,SK-3E series compact excavator
Kobelco,SK140SRLC-7,65.0,2.559,255.0,10.039,65.0,2.559,255.0,10.039,385.0,15.157,,,New_2022,SK-7 series excavator
Kobelco,SK170LC-11,70.0,2.756,305.0,12.008,70.0,2.756,305.0,12.008,435.0,17.126,,,New_2022,SK-11 series excavator
Kobelco,SK210LC-11,80.0,3.15,326.0,12.835,80.0,3.15,326.0,12.835,458.0,18.031,,,New_2023,SK-11 series excavator
Kobelco,SK260LC-11,90.0,3.543,346.0,13.622,90.0,3.543,346.0,13.622,513.0,20.197,,,New_2023,SK-11 series excavator
Kobelco,SK300LC-11,100.0,3.937,372.0,14.646,100.0,3.937,372.0,14.646,537.0,21.142,,,New_2024,SK-11 series excavator
Kobelco,SK380LC-11,110.0,4.331,425.0,16.732,110.0,4.331,425.0,16.732,586.0,23.071,,,New_2024,SK-11 series excavator
Link-Belt,80X4,50.0,1.969,189.992,7.48,50.0,1.969,191.008,7.52,299.974,11.81,,,New_2019,X4 series compact excavator
Link-Belt,145X4,65.0,2.559,254.0,10.0,65.0,2.559,255.016,10.04,385.064,15.16,,,New_2019,X4 series excavator
Link-Belt,170X4,80.0,3.15,299.974,11.81,80.0,3.15,300.99,11.85,434.848,17.12,,,New_2020,X4 series excavator
Link-Belt,210X4,80.0,3.15,306.07,12.05,80.0,3.15,307.086,12.09,451.104,17.76,,,New_2020,X4 series excavator
Link-Belt,250X4,90.0,3.543,324.866,12.79,90.0,3.543,325.882,12.83,459.994,18.11,,,New_2021,X4 series excavator
Link-Belt,300X4,90.0,3.543,325.12,12.8,90.0,3.543,325.882,12.83,459.994,18.11,,,New_2021,X4 series excavator
Link-Belt,350X4,90.0,3.543,399.796,15.74,90.0,3.543,401.066,15.79,534.924,21.06,,,New_2022,X4 series excavator
Link-Belt,470X4,100.0,3.937,479.044,18.86,100.0,3.937,480.06,18.9,569.976,22.44,,,New_2022,X4 series excavator
Link-Belt,650X4,120.0,4.724,550.0,21.654,120.0,4.724,550.0,21.654,650.0,25.591,,,New_2023,X4 series excavator
Link-Belt,750X4,130.0,5.118,576.072,22.68,130.0,5.118,577.088,22.72,674.878,26.57,,,New_2023,X4 series excavator
Link-Belt,850X4,140.0,5.512,620.0,24.409,140.0,5.512,620.0,24.409,720.0,28.346,,,New_2024,X4 series excavator
Link-Belt,950X4,150.0,5.906,670.0,26.378,150.0,5.906,670.0,26.378,780.0,30.709,,,New_2024,X4 series excavator
Develon,DX17Z-7,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,126.0,4.961,,,New_2019,DX-7 series mini excavator
Develon,DX27Z-7,35.0,1.378,135.0,5.315,35.0,1.378,135.0,5.315,165.0,6.496,,,New_2019,DX-7 series mini excavator
Develon,DX35Z-7,40.0,1.575,135.0,5.315,40.0,1.575,135.0,5.315,200.0,7.874,,,New_2020,DX-7 series mini excavator
Develon,DX55W-7,50.0,1.969,185.0,7.283,50.0,1.969,185.0,7.283,305.0,12.008,,,New_2020,DX-7 series compact excavator
Develon,DX85R-7,60.0,2.362,200.0,7.874,60.0,2.362,200.0,7.874,300.0,11.811,,,New_2021,DX-7 series compact excavator
Develon,DX140LC-7,65.0,2.559,255.0,10.039,65.0,2.559,255.0,10.039,385.0,15.157,,,New_2021,DX-7 series excavator
Develon,DX180LC-7,70.0,2.756,305.0,12.008,70.0,2.756,305.0,12.008,435.0,17.126,,,New_2022,DX-7 series excavator
Develon,DX225LC-7X,80.0,3.15,326.0,12.835,80.0,3.15,326.0,12.835,458.0,18.031,,,New_2022,DX-7X series excavator
Develon,DX300LC-7,90.0,3.543,346.0,13.622,90.0,3.543,346.0,13.622,513.0,20.197,,,New_2023,DX-7 series excavator
Develon,DX380LC-7,100.0,3.937,372.0,14.646,100.0,3.937,372.0,14.646,537.0,21.142,,,New_2023,DX-7 series excavator
Develon,DX420LC-7,110.0,4.331,425.0,16.732,110.0,4.331,425.0,16.732,586.0,23.071,,,New_2024,DX-7 series excavator
Develon,DX500LC-7,120.0,4.724,480.0,18.898,120.0,4.724,480.0,18.898,630.0,24.803,,,New_2024,DX-7 series excavator
Sany,SY16C,30.0,1.181,105.0,4.134,30.0,1.181,105.0,4.134,126.0,4.961,,,Additional_2024,Chinese mini excavator
Sany,SY26U,35.0,1.378,135.0,5.315,35.0,1.378,135.0,5.315,165.0,6.496,,,Additional_2024,Chinese mini excavator
Sany,SY35U,40.0,1.575,135.0,5.315,40.0,1.575,135.0,5.315,200.0,7.874,,,Additional_2024,Chinese mini excavator
Sany,SY50U,45.0,1.772,156.0,6.142,45.0,1.772,156.0,6.142,260.0,10.236,,,Additional_2024,Chinese compact excavator
Sany,SY60C,50.0,1.969,185.0,7.283,50.0,1.969,185.0,7.283,305.0,12.008,,,Additional_2024,Chinese compact excavator
Sany,SY75C,55.0,2.165,195.0,7.677,55.0,2.165,195.0,7.677,275.0,10.827,,,Additional_2024,Chinese compact excavator
Sany,SY95C,60.0,2.362,200.0,7.874,60.0,2.362,200.0,7.874,300.0,11.811,,,Additional_2024,Chinese compact excavator
Sany,SY135C,65.0,2.559,255.0,10.039,65.0,2.559,255.0,10.039,385.0,15.157,,,Additional_2024,Chinese excavator
Sany,SY155H,70.0,2.756,305.0,12.008,70.0,2.756,305.0,12.008,435.0,17.126,,,Additional_2024,Chinese excavator
Sany,SY205C,80.0,3.15,326.0,12.835,80.0,3.15,326.0,12.835,458.0,18.031,,,Additional_2024,Chinese excavator
Sany,SY215C,80.0,3.15,326.0,12.835,80.0,3.15,326.0,12.835,458.0,18.031,,,Additional_2024,Chinese excavator
Sany,SY235C,90.0,3.543,346.0,13.622,90.0,3.543,346.0,13.622,513.0,20.197,,,Additional_2024,Chinese excavator
Sany,SY245H,90.0,3.543,346.0,13.622,90.0,3.543,346.0,13.622,513.0,20.197,,,Additional_2024,Chinese excavator
Sany,SY265C,90.0,3.543,346.0,13.622,90.0,3.543,346.0,13.622,513.0,20.197,,,Additional_2024,Chinese excavator
Sany,SY285C,100.0,3.937,372.0,14.646,100.0,3.937,372.0,14.646,537.0,21.142,,,Additional_2024,Chinese excavator
Sany,SY305H,100.0,3.937,372.0,14.646,100.0,3.937,372.0,14.646,537.0,21.142,,,Additional_2024,Chinese excavator
Sany,SY335C,110.0,4.331,425.0,16.732,110.0,4.331,425.0,16.732,586.0,23.071,,,Additional_2024,Chinese excavator
Sany,SY365H,110.0,4.331,425.0,16.732,110.0,4.331,425.0,16.732,586.0,23.071,,,Additional_2024,Chinese excavator
